vul,weakness_name,intrusion_action,vendor,product_name
132,cleartext transmission of sensitive data,allow an attacker with network access to view sensitive data including phi.,Baxter,"exactamix em2400, exactamix em1200"
133,missing encryption of sensitive data,allow an attacker with network access to view or modify sensitive data including phi.,Baxter,"exactamix em2400, exactamix em1200"
134,improper access control,allow an attacker with physical access to the system the ability to load an unauthorized payload or unauthorized access to the hard drive by booting a live usb os.,Baxter,"exactamix em2400, exactamix em1200"
135,exposure of resource to wrong sphere,allow an attacker to alter the startup script as the limited-access user.,Baxter,"exactamix em2400, exactamix em1200"
136,improper input validation,"baxter exactamix em 2400 versions 1.10, 1.11 and exactamix em1200 versions 1.1, 1.2 does not validate or incorrectly validates input via the smbv1 port that can affect the control flow or data flow of a system.",Baxter,"exactamix em2400, exactamix em1200"
137,cleartext transmission of sensitive information,an attacker could observe sensitive data sent from the device.,Baxter,"prismaflex, prismax"
138,improper authentication,allow an attacker to modify treatment status information.,Baxter,"prismaflex, prismax"
139,use of hard-coded password,allow an attacker to modify device settings and calibration.,Baxter,"prismaflex, prismax"
140,cleartext transmission of sensitive data,an attacker with access to the network could observe sensitive treatment and prescription data sent between the phoenix system and the exalis tool.,Baxter,phoenix hemodialysis delivery system sw
141,use of hard-coded password,"sigma spectrum infusion system version(s) 6.x (model 35700bax) and baxter spectrum infusion system version(s) 8.x (model 35700bax2) contain hard-coded passwords which, when physically entered on the keypad, provide access to biomedical menus that include device settings, view of calibration values, and network configuration of the sigma spectrum wireless battery module (wbm) if installed.",Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
142,cleartext transmission of sensitive data,allow an attacker that has circumvented network security measures to view sensitive non-private data or to perform a man-in-the-middle attack.,Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
143,use of hard-coded password,"the baxter spectrum wbm (v17, v20d29, v20d30, v20d31, and v22d24) when used in conjunction with a baxter spectrum v8.x (model 35700bax2), operates a telnet service on port 1023 with hard-coded credentials.",Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
144,incorrect permission assignment for critical resource,allows the wbm to be rebooted.,Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
145,use of hard-coded password,"the baxter spectrum wbm (v17, v20d29, v20d30, v20d31, and v22d24), when used with a baxter spectrum v8.x (model 35700bax2) in a factory-default wireless configuration enables an ftp service with hard-coded credentials.",Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
146,operation on a resource after expiration or release,"the baxter spectrum wbm (v17, v20d29, v20d30, v20d31, and v22d24) when configured for wireless networking the ftp service operating on the wbm remains operational until the wbm is rebooted.",Baxter,"sigma spectrum, baxter spectrum, sigma spectrum, baxter spectrum, baxter spectrum wireless battery modules, baxter spectrum lvp"
147,improper authentication,the affected products do not properly enforce mutual authentication with the biotronik remote communication infrastructure.,BIOTRONIK,"cardiomessenger ii-s t-line t4app, cardiomessenger ii-s gsm t4app"
148,cleartext transmission of sensitive information,an attacker can disclose the product’s client credentials for connecting to the biotronik remote communication infrastructure.,BIOTRONIK,"cardiomessenger ii-s t-line t4app, cardiomessenger ii-s gsm t4app"
149,improper authentication,allow credential reuse for multiple authentication purposes.,BIOTRONIK,"cardiomessenger ii-s t-line t4app, cardiomessenger ii-s gsm t4app"
150,missing encryption of sensitive data,an attacker with physical access to the cardiomessenger can disclose medical measurement data and the serial number from the implanted cardiac device the cardiomessenger is paired with.,BIOTRONIK,"cardiomessenger ii-s t-line t4app, cardiomessenger ii-s gsm t4app"
151,storing passwords in a recoverable format,an attacker with physical access to the cardiomessenger can use these credentials for network authentication and decryption of local data in transit.,BIOTRONIK,"cardiomessenger ii-s t-line t4app, cardiomessenger ii-s gsm t4app"
152,out-of-bounds write,allow remote code execution.,Mitsubishi Electric,"mc works64, mc works32"
153,deserialization of untrusted data,cause a denial-of-service condition due to improper deserialization.,Mitsubishi Electric,"mc works64, mc works32"
154,deserialization of untrusted data,allow remote code execution due to improper deserialization.,Mitsubishi Electric,"mc works64, mc works32"
155,improper control of generation of code ('code injection'),allow the execution of certain arbitrary sql commands remotely and disclose internal data or allow internal data tampering.,Mitsubishi Electric,"mc works64, mc works32"
156,deserialization of untrusted data,allow remote code execution and a denial-of-service condition due to the deserialization vulnerability.,Mitsubishi Electric,"mc works64, mc works32"
157,improper input validation,"allow an unauthenticated, adjacent attacker to execute remote com objects with elevated privileges.",Rockwell Automation,factorytalk services platform
158,improper input validation,"a remote, unauthenticated attacker may be able to execute a crafted file on a remote endpoint that may result in remote code execution (rce).",Rockwell Automation,factorytalk view se
159,improper restriction of operations within the bounds of a memory buffer,"after bypassing memory corruption mechanisms found in the operating system, a local, authenticated attacker may corrupt the associated memory space allowing for arbitrary code execution.",Rockwell Automation,factorytalk view se
160,"permissions, privileges, and access controls","a remote, authenticated attacker may be able to utilize certain handlers to interact with the data on the remote endpoint since those handlers do not enforce appropriate permissions.",Rockwell Automation,factorytalk view se
161,exposure of sensitive information to an unauthorized actor,,Rockwell Automation,factorytalk view se
162,improper handling of length parameter inconsistency,this vulnerability may result in remote code execution.,Treck Inc.,
163,improper handling of length parameter inconsistency,this vulnerability may result in possible out-of-bounds write.,Treck Inc.,
164,improper handling of length parameter inconsistency,this vulnerability may result in out-of-bounds read.,Treck Inc.,
165,improper input validation,allow out-of-bounds read and a possible denial of service.,Treck Inc.,
166,double free,this vulnerability may result in use after free.,Treck Inc.,
167,improper input validation,this vulnerability may result in remote code execution.,Treck Inc.,
168,improper input validation,allow out-of-bounds read.,Treck Inc.,
169,out-of-bounds read,allow exposure of sensitive information.,Treck Inc.,
170,integer overflow or wraparound,possible integer overflow or wraparound in memory allocation component when handling a packet sent by an unauthorized network attacker may result in out-of-bounds write.,Treck Inc.,
171,out-of-bounds read,allow exposure of sensitive information.,Treck Inc.,
172,improper input validation,,Treck Inc.,
173,improper handling of length parameter inconsistency,"improper handling of length parameter inconsistency in tcp component, from a packet sent by an unauthorized network attacker.",Treck Inc.,
174,improper null termination,allow exposure of sensitive information.,Treck Inc.,
175,improper input validation,improper input validation in ipv4 component when handling a packet sent by an unauthorized network attacker.,Treck Inc.,
176,improper input validation,allow out-of-bounds read.,Treck Inc.,
177,improper access control,allow an attacker to change one specific configuration value.,Treck Inc.,
178,improper input validation,allow out-of-bounds read..,Treck Inc.,
